invoice_amount,days_until_due,previous_avg_delay,previous_late_payments,customer_invoice_count,customer_tenure_months,is_disputed,delay_days,source,is_delayed,risk_category
54273.28,15,-2.3662456946039034,500,9581,24.0,0,1.0,B2B_Invoices_DS1,1,LOW
79656.6,20,-3.2037037037037037,1,54,24.0,0,-3.0,B2B_Invoices_DS1,0,LOW
2253.86,15,1.9620253164556962,46,158,24.0,0,92.0,B2B_Invoices_DS1,1,CRITICAL
33133.29,15,-2.3662456946039034,500,9581,24.0,0,-3.0,B2B_Invoices_DS1,0,LOW
22225.84,10,62.98,97,100,24.0,0,61.0,B2B_Invoices_DS1,1,CRITICAL
7358.49,15,-2.3662456946039034,500,9581,24.0,0,-4.0,B2B_Invoices_DS1,0,LOW
15995.04,15,-2.3662456946039034,500,9581,24.0,0,-4.0,B2B_Invoices_DS1,0,LOW
100.0,15,-0.32979591836734695,420,1225,24.0,0,-1.0,B2B_Invoices_DS1,0,LOW
103147.37,15,-3.452830188679245,14,53,24.0,0,5.0,B2B_Invoices_DS1,1,LOW
16381.45,15,3.2083333333333335,20,24,24.0,0,6.0,B2B_Invoices_DS1,1,MEDIUM
19581.57,15,0.8245614035087719,17,57,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
5181.51,15,-0.5316582914572864,224,995,24.0,0,3.0,B2B_Invoices_DS1,1,LOW
19082.14,15,0.3434343434343434,28,99,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
12819.5,15,-2.3662456946039034,500,9581,24.0,0,-4.0,B2B_Invoices_DS1,0,LOW
53349.54,15,-2.3662456946039034,500,9581,24.0,0,-3.0,B2B_Invoices_DS1,0,LOW
5683.5,30,1.3333333333333333,3,3,24.0,0,1.0,B2B_Invoices_DS1,1,LOW
11845.19,15,-1.5925925925925926,0,27,24.0,0,-1.0,B2B_Invoices_DS1,0,LOW
20079.58,15,-1.8333333333333333,1,12,24.0,0,-2.0,B2B_Invoices_DS1,0,LOW
11307.78,15,-2.3662456946039034,500,9581,24.0,0,-4.0,B2B_Invoices_DS1,0,LOW
36188.11,15,-2.3662456946039034,500,9581,24.0,0,1.0,B2B_Invoices_DS1,1,LOW
412.09,15,-2.3662456946039034,500,9581,24.0,0,1.0,B2B_Invoices_DS1,1,LOW
48413.28,10,9.598152424942263,433,433,24.0,0,10.0,B2B_Invoices_DS1,1,MEDIUM
6023.53,15,0.44565217391304346,22,92,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
17307.51,15,0.8245614035087719,17,57,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
341.14,15,-2.3662456946039034,500,9581,24.0,0,-2.0,B2B_Invoices_DS1,0,LOW
365.87,15,1.3306451612903225,500,1612,24.0,0,1.0,B2B_Invoices_DS1,1,LOW
32751.88,35,7.002252252252252,319,444,24.0,0,21.0,B2B_Invoices_DS1,1,HIGH
39221.31,20,1.73,73,100,24.0,0,1.0,B2B_Invoices_DS1,1,LOW
46961.92,15,-2.3662456946039034,500,9581,24.0,0,-5.0,B2B_Invoices_DS1,0,LOW
51641.33,45,1.1578947368421053,10,19,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
52187.72,15,-2.3662456946039034,500,9581,24.0,0,-4.0,B2B_Invoices_DS1,0,LOW
4953.83,15,-2.3662456946039034,500,9581,24.0,0,2.0,B2B_Invoices_DS1,1,LOW
54714.07,15,-0.28440366972477066,5,109,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
3228.13,15,-2.3662456946039034,500,9581,24.0,0,-4.0,B2B_Invoices_DS1,0,LOW
31715.46,35,7.780487804878049,31,41,24.0,0,12.0,B2B_Invoices_DS1,1,MEDIUM
34565.51,15,-2.3662456946039034,500,9581,24.0,0,-5.0,B2B_Invoices_DS1,0,LOW
65353.0,15,-0.868421052631579,28,38,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
49723.89,15,-2.3662456946039034,500,9581,24.0,0,-5.0,B2B_Invoices_DS1,0,LOW
353.96,15,-2.3662456946039034,500,9581,24.0,0,-4.0,B2B_Invoices_DS1,0,LOW
3435.96,10,-4.352760736196319,63,326,24.0,0,-1.0,B2B_Invoices_DS1,0,LOW
21418.85,15,-2.3662456946039034,500,9581,24.0,0,-3.0,B2B_Invoices_DS1,0,LOW
12606.72,15,2.739130434782609,23,23,24.0,0,1.0,B2B_Invoices_DS1,1,LOW
25580.96,15,-0.8461538461538461,12,52,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
20360.19,15,-3.452830188679245,14,53,24.0,0,-2.0,B2B_Invoices_DS1,0,LOW
322.48,15,2.1862745098039214,87,102,24.0,0,-1.0,B2B_Invoices_DS1,0,LOW
91102.25,15,-0.32979591836734695,420,1225,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
73077.72,15,0.5,16,56,24.0,0,2.0,B2B_Invoices_DS1,1,LOW
2827.8,10,8.142857142857142,31,35,24.0,0,4.0,B2B_Invoices_DS1,1,LOW
3285.62,15,1.4334975369458127,137,203,24.0,0,-1.0,B2B_Invoices_DS1,0,LOW
6912.0,10,62.98,97,100,24.0,0,61.0,B2B_Invoices_DS1,1,CRITICAL
24351.25,10,3.4285714285714284,13,14,24.0,0,7.0,B2B_Invoices_DS1,1,MEDIUM
22491.08,15,-0.3333333333333333,5,60,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
981.31,15,1.8620689655172413,19,29,24.0,0,-1.0,B2B_Invoices_DS1,0,LOW
71008.69,15,-2.3662456946039034,500,9581,24.0,0,-5.0,B2B_Invoices_DS1,0,LOW
8445.33,15,2.319623971797885,500,851,24.0,0,10.0,B2B_Invoices_DS1,1,MEDIUM
79935.8,15,1.5974025974025974,60,154,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
13636.19,15,-2.3662456946039034,500,9581,24.0,0,3.0,B2B_Invoices_DS1,1,LOW
71047.42,15,-2.3662456946039034,500,9581,24.0,0,-3.0,B2B_Invoices_DS1,0,LOW
3748.84,15,-2.3662456946039034,500,9581,24.0,0,-3.0,B2B_Invoices_DS1,0,LOW
74898.29,15,1.7009472259810554,473,739,24.0,0,-1.0,B2B_Invoices_DS1,0,LOW
6300.98,15,-2.3662456946039034,500,9581,24.0,0,-5.0,B2B_Invoices_DS1,0,LOW
26520.18,15,-6.369784172661871,74,695,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
75138.42,15,-0.32979591836734695,420,1225,24.0,0,2.0,B2B_Invoices_DS1,1,LOW
78043.58,15,-3.064245810055866,73,358,24.0,0,-1.0,B2B_Invoices_DS1,0,LOW
51234.16,10,1.3590361445783132,209,415,24.0,0,2.0,B2B_Invoices_DS1,1,LOW
42362.3,30,8.315068493150685,62,73,24.0,0,26.0,B2B_Invoices_DS1,1,HIGH
6347.86,15,2.9714285714285715,67,70,24.0,0,2.0,B2B_Invoices_DS1,1,LOW
48129.8,15,-2.3662456946039034,500,9581,24.0,0,-5.0,B2B_Invoices_DS1,0,LOW
5957.04,15,-2.3662456946039034,500,9581,24.0,0,-4.0,B2B_Invoices_DS1,0,LOW
423.47,15,-2.3662456946039034,500,9581,24.0,0,-2.0,B2B_Invoices_DS1,0,LOW
32415.05,15,4.625,6,8,24.0,0,4.0,B2B_Invoices_DS1,1,LOW
1328.25,15,-2.3662456946039034,500,9581,24.0,0,-3.0,B2B_Invoices_DS1,0,LOW
116300.54,15,-3.452830188679245,14,53,24.0,0,2.0,B2B_Invoices_DS1,1,LOW
20306.46,15,2.1818181818181817,20,22,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
17243.1,15,14.0,2,2,24.0,0,14.0,B2B_Invoices_DS1,1,MEDIUM
22993.63,15,2.319623971797885,500,851,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
18939.75,15,-0.17582417582417584,29,91,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
