Invoice ID,Customer,Amount,Invoice Date,Due Date,Status,Payment Terms,Previous Avg Delay Days,Previous Late Payments,Customer Tenure Months,HSN Code,GST Rate
INV-2026-101,Mehta Heavy Traders,850000,2026-07-20,2026-08-20,Overdue,Net 30,18.5,4,24,8481.80,18%
INV-2026-102,Mehta Heavy Traders,520000,2026-08-01,2026-09-01,Pending,Net 30,18.5,4,24,8481.80,18%
INV-2026-103,Mehta Heavy Traders,430000,2026-08-15,2026-09-15,Pending,Net 30,18.5,4,24,8481.80,18%
INV-2026-104,Sona Global Exports,460000,2026-07-15,2026-08-15,Overdue,Net 30,12.0,2,18,6203.42,12%
INV-2026-105,Sona Global Exports,380000,2026-08-05,2026-09-05,Pending,Net 30,12.0,2,18,6203.42,12%
INV-2026-106,Sona Global Exports,290000,2026-08-20,2026-09-20,Pending,Net 30,12.0,2,18,6203.42,12%
INV-2026-107,Reliance Retail Supply,940000,2026-08-02,2026-09-02,Pending,Net 30,5.2,1,36,8708.29,18%
INV-2026-108,Reliance Retail Supply,680000,2026-08-18,2026-09-18,Pending,Net 30,5.2,1,36,8708.29,18%
INV-2026-109,Krishna Furnishings & Fabrics,320000,2026-08-10,2026-09-10,Pending,Net 30,3.0,0,14,5407.52,5%
INV-2026-110,Krishna Furnishings & Fabrics,210000,2026-08-22,2026-09-22,Pending,Net 30,3.0,0,14,5407.52,5%
INV-2026-111,Anand Auto Agencies,190000,2026-07-28,2026-08-28,Overdue,Net 30,14.2,3,10,8708.99,18%
INV-2026-112,Anand Auto Agencies,145000,2026-08-12,2026-09-12,Pending,Net 30,14.2,3,10,8708.99,18%
INV-2026-113,Tata Motors CV Hub,1250000,2026-08-01,2026-09-30,Pending,Net 60,4.0,0,48,8704.23,28%
INV-2026-114,Tata Motors CV Hub,780000,2026-08-14,2026-10-14,Pending,Net 60,4.0,0,48,8704.23,28%
INV-2026-115,Larsen & Toubro Infra,1650000,2026-07-10,2026-09-10,Pending,Net 60,8.5,1,40,7308.90,18%
INV-2026-116,Larsen & Toubro Infra,920000,2026-08-05,2026-10-05,Pending,Net 60,8.5,1,40,7308.90,18%
INV-2026-117,Bajaj Auto Industrial,540000,2026-08-08,2026-09-08,Pending,Net 30,2.5,0,30,8711.20,18%
INV-2026-118,Bajaj Auto Industrial,380000,2026-08-24,2026-09-24,Pending,Net 30,2.5,0,30,8711.20,18%
INV-2026-119,Godrej Consumer Goods,410000,2026-08-06,2026-09-06,Pending,Net 30,1.8,0,28,3401.11,18%
INV-2026-120,Godrej Consumer Goods,360000,2026-08-25,2026-09-25,Pending,Net 30,1.8,0,28,3401.11,18%
INV-2026-121,Apollo Tyres Logistics,620000,2026-08-11,2026-09-11,Pending,Net 30,6.0,1,22,4011.20,28%
INV-2026-122,Apollo Tyres Logistics,480000,2026-08-26,2026-09-26,Pending,Net 30,6.0,1,22,4011.20,28%
INV-2026-123,Mahindra Aerospace Division,890000,2026-07-25,2026-09-25,Pending,Net 60,3.2,0,32,8803.30,18%
INV-2026-124,Hero MotoCorp Suppliers,340000,2026-08-03,2026-09-03,Pending,Net 30,4.5,0,16,8714.10,18%
INV-2026-125,Havells Electricals Network,470000,2026-08-16,2026-09-16,Pending,Net 30,2.0,0,20,8536.50,18%
INV-2026-126,JSW Steel Processing,1150000,2026-07-18,2026-08-18,Overdue,Net 30,16.0,3,15,7208.10,18%
INV-2026-127,JSW Steel Processing,720000,2026-08-19,2026-09-19,Pending,Net 30,16.0,3,15,7208.10,18%
INV-2026-128,Blue Star Precision Cooling,280000,2026-08-09,2026-09-09,Pending,Net 30,1.5,0,25,8415.10,28%
INV-2026-129,Thermax Energy Systems,610000,2026-08-13,2026-09-13,Pending,Net 30,7.0,1,19,8402.11,18%
INV-2026-130,Kirloskar Brothers Engines,530000,2026-08-07,2026-09-07,Pending,Net 30,5.0,0,26,8413.70,18%
INV-2026-131,Mehta Heavy Traders,620000,2026-06-15,2026-07-15,Paid,Net 30,18.0,4,24,8481.80,18%
INV-2026-132,Tata Motors CV Hub,890000,2026-06-01,2026-08-01,Paid,Net 60,3.5,0,48,8704.23,28%
INV-2026-133,Reliance Retail Supply,710000,2026-06-18,2026-07-18,Paid,Net 30,4.8,1,36,8708.29,18%
INV-2026-134,Larsen & Toubro Infra,1400000,2026-05-20,2026-07-20,Paid,Net 60,7.0,1,40,7308.90,18%
INV-2026-135,Bajaj Auto Industrial,450000,2026-06-25,2026-07-25,Paid,Net 30,2.0,0,30,8711.20,18%
INV-2026-136,Godrej Consumer Goods,390000,2026-06-10,2026-07-10,Paid,Net 30,1.2,0,28,3401.11,18%
INV-2026-137,Apollo Tyres Logistics,510000,2026-06-14,2026-07-14,Paid,Net 30,5.5,1,22,4011.20,28%
INV-2026-138,Krishna Furnishings & Fabrics,280000,2026-06-22,2026-07-22,Paid,Net 30,2.5,0,14,5407.52,5%
INV-2026-139,Anand Auto Agencies,160000,2026-06-05,2026-07-05,Paid,Net 30,13.0,3,10,8708.99,18%
INV-2026-140,Sona Global Exports,410000,2026-06-12,2026-07-12,Paid,Net 30,11.5,2,18,6203.42,12%
